Zaynah Ansari,,,,,,For-Loop Project Timing Results,,,,,,,,,,,,,,,,,,,
All times are in seconds,,,,,,Your time duration values will be different. ,,,,,,,,,,,,,,,,,,,
Results for Loop 1:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
Trial,Trial,1000000,2000000,3000000,4000000,5000000,6000000,7000000,8000000,9000000,10000000,,,,,,,,,,,,,,
,0,0.0030489,0.0024975,0.0033504,0.0055343,0.0059890,0.0101804,0.0083642,0.0110253,0.0111697,0.0141625,,,,,,,,,,,,,,
,1,0.0023682,0.0026451,0.0034257,0.0047899,0.0088533,0.0086835,0.0157916,0.0091952,0.0148649,0.0129901,,,,,,,,,,,,,,
,2,0.0013797,0.0046639,0.0036482,0.0082399,0.0058849,0.0076685,0.0108496,0.0116878,0.0145474,0.0149627,,,,,,,,,,,,,,
,3,0.0017085,0.0024620,0.0036926,0.0050640,0.0088810,0.0078305,0.0109212,0.0095554,0.0102791,0.0134820,,,,,,,,,,,,,,
,4,0.0013632,0.0023121,0.0034980,0.0065779,0.0056839,0.0073843,0.0082856,0.0106103,0.0107982,0.0138532,,,,,,,,,,,,,,
,Avg,0.0019737,0.0029161,0.0035230,0.0060412,0.0070584,0.0083494,0.0108424,0.0104148,0.0123319,0.0138901,,,,,,,,,,,,,,
Results for Loop 2:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
,Trial,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,,,,,,,,,,,
,0,0.0020661,0.0063105,0.0125256,0.0197379,0.0325851,0.0477713,0.0633217,0.0820480,0.1004390,0.1296289,,,,,,,,,,,,,,
,1,0.0012304,0.0055179,0.0121577,0.0241745,0.0321023,0.0513366,0.0700198,0.0864998,0.1088292,0.1391840,,,,,,,,,,,,,,
,2,0.0014002,0.0049267,0.0186120,0.0207530,0.0340158,0.0451728,0.0693654,0.0876048,0.1129252,0.1352334,,,,,,,,,,,,,,
,3,0.0022011,0.0059341,0.0116896,0.0198115,0.0303282,0.0473969,0.0692146,0.0824829,0.1139459,0.1327538,,,,,,,,,,,,,,
,4,0.0014231,0.0068697,0.0125231,0.0213519,0.0366646,0.0502356,0.0705819,0.0858759,0.1066345,0.1363927,,,,,,,,,,,,,,
,Avg,0.0016642,0.0059118,0.0135016,0.0211658,0.0331392,0.0483826,0.0685007,0.0849023,0.1085548,0.1346386,,,,,,,,,,,,,,
Results for Loop 3:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
,Trial,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,,,
,0,0.0039241,0.0321053,0.0897986,0.2016546,0.4015184,0.6901208,1.1107035,1.6113978,2.3461850,3.2487318,,,,,,,,,,,,,,
,1,0.0031385,0.0255026,0.0876905,0.2089121,0.4097044,0.7110131,1.1145539,1.7101219,2.4513718,3.3233151,,,,,,,,,,,,,,
,2,0.0035854,0.0261179,0.0863132,0.2142328,0.4092407,0.7085365,1.1319643,1.7655142,2.5185733,3.3672758,,,,,,,,,,,,,,
,3,0.0038905,0.0255878,0.0873076,0.2153699,0.4059325,0.7235697,1.1481019,1.7011434,2.4299536,3.3443137,,,,,,,,,,,,,,
,4,0.0034523,0.0299072,0.0921331,0.2129751,0.3886396,0.7136323,1.1706481,1.7049554,2.3997869,3.2551262,,,,,,,,,,,,,,
,Avg,0.0035982,0.0278442,0.0886486,0.2106289,0.4030071,0.7093745,1.1351943,1.6986265,2.4291741,3.3077525,,,,,,,,,,,,,,
Results for Loop 4:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
,Trial,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,,,,,,,,,,,
,0,0.0004441,0.0024581,0.0038989,0.0098686,0.0128114,0.0185532,0.0235379,0.0357282,0.0374419,0.0551555,,,,,,,,,,,,,,
,1,0.0004756,0.0016310,0.0035277,0.0080044,0.0165289,0.0179842,0.0226048,0.0400547,0.0376465,0.0464131,,,,,,,,,,,,,,
,2,0.0006598,0.0017838,0.0040707,0.0087298,0.0146793,0.0194193,0.0239112,0.0358959,0.0364244,0.0560895,,,,,,,,,,,,,,
,3,0.0005514,0.0018576,0.0037204,0.0093288,0.0127676,0.0174486,0.0197369,0.0358409,0.0381605,0.0548263,,,,,,,,,,,,,,
,4,0.0006551,0.0016875,0.0056018,0.0063986,0.0162502,0.0199940,0.0278796,0.0307266,0.0373561,0.0528209,,,,,,,,,,,,,,
,Avg,0.0005572,0.0018836,0.0041639,0.0084660,0.0146075,0.0186799,0.0235341,0.0356493,0.0374059,0.0530611,,,,,,,,,,,,,,
Results for Loop 5:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
,Trial,10,20,30,40,50,60,70,80,90,100,,,,,,,,,,,,,,
,0,0.0000293,0.0005844,0.0033473,0.0103319,0.0281739,0.0731550,0.1424779,0.2868310,0.5033253,0.8485971,,,,,,,,,,,,,,
,1,0.0000161,0.0003546,0.0025408,0.0083317,0.0244878,0.0634500,0.1548134,0.2871866,0.5248028,0.8624378,,,,,,,,,,,,,,
,2,0.0000159,0.0004082,0.0018717,0.0095859,0.0277703,0.0643014,0.1470017,0.2814618,0.5198456,0.8728280,,,,,,,,,,,,,,
,3,0.0000161,0.0003524,0.0025216,0.0079140,0.0285372,0.0652899,0.1444390,0.2789890,0.5298054,0.8813888,,,,,,,,,,,,,,
,4,0.0000113,0.0003574,0.0026148,0.0097271,0.0264404,0.0651324,0.1400695,0.2849339,0.5249701,0.8955432,,,,,,,,,,,,,,
,Avg,0.0000177,0.0004114,0.0025792,0.0091781,0.0270819,0.0662657,0.1457603,0.2838805,0.5205498,0.8721590,,,,,,,,,,,,,,
Results for Loop 6:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ns:,,,,,,,,,,,,,,,,,,,,
,Trial,100,125,150,175,200,225,250,275,300,325,,,,,,,,,,,,,,
,0,0.0262539,0.0624016,0.0963704,0.1240352,0.1916366,0.3206911,0.4870946,0.6477480,0.8807932,1.2347462,,,,,,,,,,,,,,
,1,0.0145399,0.0403035,0.0558357,0.1025786,0.1742973,0.3069150,0.4377152,0.6222625,0.8957351,1.1945534,,,,,,,,,,,,,,
,2,0.0111547,0.0423931,0.0576332,0.1057040,0.1707331,0.2745597,0.4861761,0.6640213,0.8548067,1.2343093,,,,,,,,,,,,,,
,3,0.0162360,0.0406397,0.0541294,0.1294307,0.1888006,0.2717041,0.4549929,0.6351824,0.8743251,1.1779498,,,,,,,,,,,,,,
,4,0.0109003,0.0256785,0.0558129,0.1002537,0.1704899,0.2731620,0.4127702,0.6110458,0.8828568,1.1926280,,,,,,,,,,,,,,
,Avg,0.0158170,0.0422833,0.0639563,0.1124004,0.1791915,0.2894064,0.4557498,0.6360520,0.8777034,1.2068373,,,,,,,,,,,,,,
,,,…,,For the remaining time tables:,,,,,,,,,,,,,,,,,,,,
,,,,,,You may need to format some columns with scientific notation for very small or very large numbers,,,,,,,,,,,,,,,,,,,
,,,,,,Note the fixed point format with 7 significant digits is used where appropriate since timing results were used with 7 significant digits ,,,,,,,,,,,,,,,,,,,
Problem1: Shows Linear Θ(N),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T = Time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,1000000,0.0019737,2.0,19737,,0.0197370,,1.973700E-08,,1.973700E-14,,1.973700E-20,,1.973700E-26,,,,,,,,,,,
,2000000,0.0029161,2.9,29161,,0.0145805,,7.290250E-09,,3.645125E-15,,1.822563E-21,,9.112813E-28,,,,,,,,,,,
,3000000,0.0035230,3.5,35230,,0.0117433,,3.914444E-09,,1.304815E-15,,4.349383E-22,,1.449794E-28,,,,,,,,,,,
,4000000,0.0060412,6.0,60412,,0.0151030,,3.775750E-09,,9.439375E-16,,2.359844E-22,,5.899609E-29,,,,,,,,,,,
,5000000,0.0070584,7.1,70584,,0.0141168,,2.823360E-09,,5.646720E-16,,1.129344E-22,,2.258688E-29,,,,,,,,,,,
,6000000,0.0083494,8.3,83494,,0.0139157,,2.319278E-09,,3.865463E-16,,6.442438E-23,,1.073740E-29,,,,,,,,,,,
,7000000,0.0108424,10.8,108424,,0.0154891,,2.212735E-09,,3.161050E-16,,4.515785E-23,,6.451122E-30,,,,,,,,,,,
,8000000,0.0104148,10.4,104148,,0.0130185,,1.627313E-09,,2.034141E-16,,2.542676E-23,,3.178345E-30,,,,,,,,,,,
,9000000,0.0123319,12.3,123319,,0.0137021,,1.522457E-09,,1.691619E-16,,1.879576E-23,,2.088418E-30,,,,,,,,,,,
,10000000,0.0138901,13.9,138901,,0.0138901,,1.389010E-09,,1.389010E-16,,1.389010E-23,,1.389010E-30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Problem2: Shows Quadratic Polynomial Time Complexity Θ(N2),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T =  time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,1000,0.001664,1.7,16642,,16.6420,,0.0166420,,1.664200E-05,,1.664200E-08,,1.664200E-11,,,,,,,,,,,
,2000,0.005912,5.9,59118,,29.5590,,0.0147795,,7.389750E-06,,3.694875E-09,,1.847438E-12,,,,,,,,,,,
,3000,0.0135016,13.5,135016,,45.0053,,0.0150018,,5.000593E-06,,1.666864E-09,,5.556214E-13,,,,,,,,,,,
,4000,0.0211658,21.2,211658,,52.9145,,0.0132286,,3.307156E-06,,8.267891E-10,,2.066973E-13,,,,,,,,,,,
,5000,0.0331392,33.1,331392,,66.2784,,0.0132557,,2.651136E-06,,5.302272E-10,,1.060454E-13,,,,,,,,,,,
,6000,0.0483826,48.4,483826,,80.6377,,0.0134396,,2.239935E-06,,3.733225E-10,,6.222042E-14,,,,,,,,,,,
,7000,0.0685007,68.5,685007,,97.8581,,0.0139797,,1.997105E-06,,2.853007E-10,,4.075724E-14,,,,,,,,,,,
,8000,0.0849023,84.9,849023,,106.1279,,0.0132660,,1.658248E-06,,2.072810E-10,,2.591013E-14,,,,,,,,,,,
,9000,0.1085548,108.6,1085548,,120.6164,,0.0134018,,1.489092E-06,,1.654547E-10,,1.838385E-14,,,,,,,,,,,
,10000,0.1346386,134.6,1346386,,134.6386,,0.0134639,,1.346386E-06,,1.346386E-10,,1.346386E-14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Problem3: Shows Linear Θ(N^3),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T = Time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,100,0.0035854,3.6,35854,,358.5400000,,3.585400E+00,,3.585400E-02,,3.585400E-04,,3.585400E-06,,,,,,,,,,,
,200,0.0278442,27.8,278442,,1392.2100000,,6.961050E+00,,3.480525E-02,,1.740263E-04,,8.701313E-07,,,,,,,,,,,
,300,0.0886486,88.6,886486,,2954.9533333,,9.849844E+00,,3.283281E-02,,1.094427E-04,,3.648091E-07,,,,,,,,,,,
,400,0.2106289,210.6,2106289,,5265.7225000,,1.316431E+01,,3.291077E-02,,8.227691E-05,,2.056923E-07,,,,,,,,,,,
,500,0.4030071,403.0,4030071,,8060.1420000,,1.612028E+01,,3.224057E-02,,6.448114E-05,,1.289623E-07,,,,,,,,,,,
,600,0.7093745,709.4,7093745,,11822.9083333,,1.970485E+01,,3.284141E-02,,5.473569E-05,,9.122614E-08,,,,,,,,,,,
,700,1.1351943,1135.2,11351943,,16217.0614286,,2.316723E+01,,3.309604E-02,,4.728006E-05,,6.754295E-08,,,,,,,,,,,
,800,1.6986265,1698.6,16986265,,21232.8312500,,2.654104E+01,,3.317630E-02,,4.147037E-05,,5.183797E-08,,,,,,,,,,,
,900,2.4291741,2429.2,24291741,,26990.8233333,,2.998980E+01,,3.332200E-02,,3.702445E-05,,4.113828E-08,,,,,,,,,,,
,1000,3.3077525,3307.8,33077525,,33077.5250000,,3.307753E+01,,3.307753E-02,,3.307753E-05,,3.307753E-08,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Problem4: Shows Linear Θ(N),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T = Time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,1000,0.0005572,0.6,5572,,5.5720000,,5.572000E-03,,5.572000E-06,,5.572000E-09,,5.572000E-12,,,,,,,,,,,
,2000,0.0018836,1.9,18836,,9.4180000,,4.709000E-03,,2.354500E-06,,1.177250E-09,,5.886250E-13,,,,,,,,,,,
,3000,0.0041639,4.2,41639,,13.8796667,,4.626556E-03,,1.542185E-06,,5.140617E-10,,1.713539E-13,,,,,,,,,,,
,4000,0.0084660,8.5,84660,,21.1650000,,5.291250E-03,,1.322813E-06,,3.307031E-10,,8.267578E-14,,,,,,,,,,,
,5000,0.0146075,14.6,146075,,29.2150000,,5.843000E-03,,1.168600E-06,,2.337200E-10,,4.674400E-14,,,,,,,,,,,
,6000,0.0186799,18.7,186799,,31.1331667,,5.188861E-03,,8.648102E-07,,1.441350E-10,,2.402251E-14,,,,,,,,,,,
,7000,0.0235341,23.5,235341,,33.6201429,,4.802878E-03,,6.861254E-07,,9.801791E-11,,1.400256E-14,,,,,,,,,,,
,8000,0.0356493,35.6,356493,,44.5616250,,5.570203E-03,,6.962754E-07,,8.703442E-11,,1.087930E-14,,,,,,,,,,,
,9000,0.0374059,37.4,374059,,41.5621111,,4.618012E-03,,5.131125E-07,,5.701250E-11,,6.334722E-15,,,,,,,,,,,
,10000,0.0530611,53.1,530611,,53.0611000,,5.306110E-03,,5.306110E-07,,5.306110E-11,,5.306110E-15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Problem5: Shows Linear Θ(N),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T = Time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,10,0.0000177,0.0,177,,17.7000000,,1.770000E+00,,1.770000E-01,,1.770000E-02,,1.770000E-03,,,,,,,,,,,
,20,0.0004114,0.4,4114,,205.7000000,,1.028500E+01,,5.142500E-01,,2.571250E-02,,1.285625E-03,,,,,,,,,,,
,30,0.0025792,2.6,25792,,859.7333333,,2.865778E+01,,9.552593E-01,,3.184198E-02,,1.061399E-03,,,,,,,,,,,
,40,0.0091781,9.2,91781,,2294.5250000,,5.736313E+01,,1.434078E+00,,3.585195E-02,,8.962988E-04,,,,,,,,,,,
,50,0.0281739,28.2,281739,,5634.7800000,,1.126956E+02,,2.253912E+00,,4.507824E-02,,9.015648E-04,,,,,,,,,,,
,60,0.0662657,66.3,662657,,11044.2833333,,1.840714E+02,,3.067856E+00,,5.113094E-02,,8.521824E-04,,,,,,,,,,,
,70,0.1457603,145.8,1457603,,20822.9000000,,2.974700E+02,,4.249571E+00,,6.070816E-02,,8.672595E-04,,,,,,,,,,,
,80,0.2838805,283.9,2838805,,35485.0625000,,4.435633E+02,,5.544541E+00,,6.930676E-02,,8.663345E-04,,,,,,,,,,,
,90,0.5205498,520.5,5205498,,57838.8666667,,6.426541E+02,,7.140601E+00,,7.934001E-02,,8.815557E-04,,,,,,,,,,,
,100,0.8721590,872.2,8721590,,87215.9000000,,8.721590E+02,,8.721590E+00,,8.721590E-02,,8.721590E-04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Problem6: Shows Linear Θ(N^4),,,,,,,,,,,,,,,,,,,,,,,,,
,,Average,T = Time Scaled by Factor,,,,,,,,,,,,,,,,,,,,,,
 ,N,Time (sec),1000,10000000,,T/N,,T/N2,,T/N3,,T/N4,,T/N5,,,,,,,,,,,
,100,0.0158170,15.8,158170,,1581.7000000,,1.581700E+01,,1.581700E-01,,1.581700E-03,,1.581700E-05,,,,,,,,,,,
,125,0.0422833,42.3,422833,,3382.6640000,,2.706131E+01,,2.164905E-01,,1.731924E-03,,1.385539E-05,,,,,,,,,,,
,150,0.0639563,64.0,639563,,4263.7533333,,2.842502E+01,,1.895001E-01,,1.263334E-03,,8.422229E-06,,,,,,,,,,,
,175,0.1124004,112.4,1124004,,6422.8800000,,3.670217E+01,,2.097267E-01,,1.198438E-03,,6.848219E-06,,,,,,,,,,,
,200,0.1791915,179.2,1791915,,8959.5750000,,4.479788E+01,,2.239894E-01,,1.119947E-03,,5.599734E-06,,,,,,,,,,,
,225,0.2894064,289.4,2894064,,12862.5066667,,5.716670E+01,,2.540742E-01,,1.129219E-03,,5.018750E-06,,,,,,,,,,,
,250,0.4557498,455.7,4557498,,18229.9920000,,7.291997E+01,,2.916799E-01,,1.166719E-03,,4.666878E-06,,,,,,,,,,,
,275,0.6360520,636.1,6360520,,23129.1636364,,8.410605E+01,,3.058402E-01,,1.112146E-03,,4.044168E-06,,,,,,,,,,,
,300,0.8777034,877.7,8777034,,29256.7800000,,9.752260E+01,,3.250753E-01,,1.083584E-03,,3.611948E-06,,,,,,,,,,,
,325,1.2068373,1206.8,12068373,,37133.4553846,,1.142568E+02,,3.515593E-01,,1.081721E-03,,3.328372E-06,,,,,,,,,,,
